,City,Latitude,Longitude,Temperature (F),Humididity (%),Cloudiness (%),Wind Speed (mph)
162,severo-kurilsk,50.6789,156.125,31.69,96,100,15.48
163,hvolsvollur,63.7533,-20.2243,22.69,90,98,5.66
164,kazachinskoye,57.6953,93.2761,-25.33,82,100,8.1
165,fairbanks,64.8378,-147.7164,-15.34,76,40,2.39
166,aiken,33.5835,-81.5998,54.82,94,90,10.36
167,arraial do cabo,-22.9661,-42.0278,77.32,80,100,28.14
168,oistins,13.0667,-59.5333,78.8,65,75,14.97
169,aksu,41.1231,80.2644,14.25,88,0,1.81
170,yumen,40.2833,97.2,22.26,64,0,6.06
171,grand-santi,4.25,-54.3833,70.0,96,99,2.55
172,pizarro,4.9533,-77.366,76.91,89,100,3.98
173,canico,32.6333,-16.85,56.48,100,75,4.61
174,marsaxlokk,35.8419,14.5431,53.24,100,75,8.05
175,okha,53.5739,142.9478,10.38,95,100,16.37
177,egvekinot,66.3167,-179.1667,-13.4,87,100,22.86
178,boueni,-12.9025,45.0761,78.8,83,0,3.44
180,salalah,17.0151,54.0924,69.8,30,0,5.75
181,hay river,60.8156,-115.7999,-14.8,76,100,2.3
182,bougouni,11.417,-7.479,69.64,20,0,6.31
183,dunedin,-45.8742,170.5036,54.0,62,83,27
184,camacari,-12.6975,-38.3242,78.8,78,75,5.75
185,ryki,51.6257,21.9327,31.59,51,94,6.67
186,krasnoselkup,65.7,82.4667,-40.0,82,3,3.18
187,fare,-16.7,-151.0167,81.45,71,92,10.71
188,richards bay,-28.783,32.0377,71.71,94,100,18.39
189,saint anthony,45.0205,-93.218,7.47,56,75,3.06
190,knysna,-34.0363,23.0471,55.4,88,0,2.3
191,naranjal,-2.6667,-79.6167,76.66,94,90,8.05
192,beloha,-25.1667,45.05,76.8,77,0,10.29
193,tagusao,9.1924,117.8141,82.44,75,100,7.23
194,cap malheureux,-19.9842,57.6142,75.99,82,21,3
195,vetluzhskiy,58.3902,45.4654,28.8,98,100,3.8
196,minab,27.1467,57.0801,48.2,71,8,4.61
197,qaqortoq,60.7167,-46.0333,39.2,33,75,26.46
198,bradford,53.7939,-1.7521,40.24,97,100,11.68
199,yushala,57.0761,64.2601,26.6,80,0,20.13
200,iqaluit,63.7506,-68.5145,-2.09,65,1,20.71
201,chapais,49.7834,-74.8492,14.0,85,90,9.22
202,baghmara,23.795,86.2085,54.54,50,0,3.47
203,bogo,11.0517,124.0055,81.21,79,100,12.59
204,sai buri,6.7013,101.6168,78.8,89,40,4.61
205,pavlodar,52.3,76.95,12.2,85,0,8.95
206,cobija,-11.0267,-68.7692,74.95,90,100,2.55
207,merauke,-8.4667,140.3333,83.59,78,98,16.04
208,odweyne,9.4092,45.064,60.64,51,0,3.65
209,savannah bight,16.45,-85.85,79.0,88,12,1.01
210,geraldton,-28.7667,114.6,82.4,28,0,17.27
211,port keats,-14.25,129.55,77.43,92,100,8.77
212,atambua,-9.1061,124.8925,76.26,89,100,9.19
213,ancud,-41.8697,-73.8203,50.94,82,0,3.44
215,sisimiut,66.9395,-53.6735,8.37,78,0,10.51
216,trincomalee,8.5711,81.2335,78.53,74,79,14.12
217,chibuto,-24.6867,33.5306,74.86,89,90,5.55
218,mundwa,27.0667,73.8167,48.52,47,0,5.79
219,nome,64.5011,-165.4064,13.08,62,1,10.36
220,saint-ambroise,48.5501,-71.3324,21.25,93,97,5.75
221,voh,-20.9667,164.7,87.58,57,94,10.6
222,georgetown,5.4112,100.3354,79.27,83,20,4.61
223,ende,-8.8432,121.6623,83.16,74,100,4.41
224,acapulco,16.8634,-99.8901,78.8,78,75,2.73
225,nanding,36.7483,118.0558,32.0,27,0,3
226,rocha,-34.4833,-54.3333,61.36,89,0,1.16
227,bengkulu,-3.8004,102.2655,77.25,86,100,3.42
228,iquique,-20.2208,-70.1431,71.6,64,90,10.36
229,la asuncion,11.0333,-63.8628,75.92,86,45,14.65
230,fukue,32.6881,128.8419,53.6,62,20,10.36
231,upernavik,72.7868,-56.1549,-4.74,91,97,5.44
232,tilichiki,60.4667,166.1,-6.99,90,76,6.71
233,buta,2.7858,24.73,68.86,97,84,1.83
234,aksarka,66.5606,67.7975,-26.63,85,100,8.41
235,lufilufi,-13.8745,-171.5986,78.8,100,90,11.5
236,kieta,-6.2167,155.6333,87.58,65,100,12.64
237,xichang,27.8964,102.2634,43.77,58,34,2.77
239,luan,46.3592,6.9759,33.8,100,75,3.71
240,sorland,67.667,12.6934,32.7,88,0,15.03
241,cubuk,40.2386,33.0322,32.0,86,75,2.3
242,dunmore town,25.5,-76.65,75.18,79,0,7.85
243,uhlove,44.8215,33.6045,43.93,80,100,22.21
245,bairiki,1.3292,172.9752,86.0,66,20,12.66
246,wick,58.4333,-3.0833,26.6,86,20,2.3
247,ilulissat,69.2167,-51.1,5.0,47,0,2.3
248,aguacatan,15.3431,-91.3117,54.0,50,21,1.01
249,black river,18.0264,-77.8487,78.49,78,40,6.91
250,moranbah,-22.0016,148.0466,89.6,38,1,17.2
251,tocopilla,-22.092,-70.1979,69.46,64,13,7.43
254,adrar,20.5022,-10.0711,63.73,27,0,10.29
255,san miguel,13.4833,-88.1833,77.67,55,3,2.21
256,galesong,-5.3166,119.3661,77.0,100,40,5.75
257,axim,4.8699,-2.2405,77.58,90,0,5.95
259,alamosa,37.4695,-105.87,8.6,66,1,4.79
260,lushoto,-4.7833,38.2833,57.33,100,8,3.04
261,matay,28.419,30.7792,47.95,80,0,7.54
262,kyabe,9.4515,18.9449,74.57,20,3,7.34
263,gilbues,-9.8317,-45.3439,76.15,57,74,2.28
264,poya,-21.35,165.15,86.59,58,57,10.2
265,tambovka,50.0969,128.0489,-16.6,69,40,4.47
266,pringsewu,-5.3582,104.9744,72.81,94,100,0.89
267,havelock,34.8791,-76.9013,44.01,84,99,8.99
268,anadyr,64.75,177.4833,12.2,85,75,24.61
270,portland,45.5234,-122.6762,40.12,91,96,3.91
271,mayskiy,47.6931,40.1025,35.6,100,90,22.37
272,beringovskiy,63.05,179.3167,16.21,96,100,25.21
274,camacha,33.0833,-16.3333,60.8,94,75,10.36
275,bathsheba,13.2167,-59.5167,78.8,65,75,14.97
276,coaldale,49.7167,-112.6185,13.21,79,40,4.61
277,salinas,36.6777,-121.6555,45.93,93,90,5.75
278,henties bay,-22.116,14.2845,66.99,86,0,4.27
279,chicama,-7.8447,-79.1469,72.73,71,100,6.64
280,clyde river,70.4692,-68.5914,-16.6,83,1,2.3
281,bluefields,12.0137,-83.7635,76.3,89,28,10.22
282,tigil,57.8,158.6667,-0.85,92,97,6.33
283,vestmannaeyjar,63.4427,-20.2734,33.3,88,87,21.65
284,slavicin,49.088,17.8735,24.66,90,51,1.01
285,korla,41.7597,86.1469,19.06,85,0,1.61
286,cotonou,6.3654,2.4183,82.4,83,40,12.66
287,shimoda,34.6667,138.95,41.58,87,75,26.46
288,zaraza,9.3503,-65.3245,74.25,81,100,7
289,marrakesh,31.6315,-8.0083,57.2,54,0,1.14
290,shumskiy,54.8318,99.1328,12.04,91,78,7.16
291,batangafo,7.3008,18.2833,73.63,23,100,2.04
292,presidencia roque saenz pena,-26.7852,-60.4388,78.01,78,0,1.01
294,seoul,37.5683,126.9778,31.5,93,90,13.8
295,shitanjing,39.2342,106.3439,20.39,73,0,13.35
296,east london,-33.0153,27.9116,68.0,77,79,13.04
297,dauphin,51.1494,-100.0502,-14.8,70,1,3.44
298,bambous virieux,-20.3428,57.7575,74.62,88,20,3.44
299,ilheus,-14.7889,-39.0494,75.2,94,40,2.3
300,longyearbyen,78.2186,15.6401,3.2,60,20,18.41
301,belmonte,-15.8631,-38.8828,78.8,69,40,8.05
302,norman wells,65.282,-126.8329,-20.2,76,75,4.61
303,victoria,22.2855,114.1577,64.0,77,3,1.01
304,ahipara,-35.1667,173.1667,72.07,66,42,11.92
305,karwar,14.8,74.1333,71.29,67,89,4.16
306,berlin,52.5244,13.4105,35.71,93,75,12.66
307,nelson bay,-32.7167,152.15,69.94,100,90,20.71
308,faanui,-16.4833,-151.75,81.64,70,68,11.52
309,port blair,11.6667,92.75,80.73,76,97,13.49
310,flin flon,54.7682,-101.865,-14.04,89,0,5.88
311,castro,-24.7911,-50.0119,66.6,92,100,4.05
313,flinders,-34.5833,150.8552,69.67,64,90,13.8
314,lorengau,-2.0226,147.2712,84.54,74,100,8.95
315,lebu,-37.6167,-73.65,55.69,88,94,5.14
316,beba,22.4437,-79.7253,69.8,94,20,2.3
318,santa luzia,-19.7697,-43.8514,72.19,60,0,8.05
319,san quintin,30.4833,-115.95,55.2,59,100,9.15
320,port elizabeth,-33.918,25.5701,62.6,77,0,4.61
322,dhidhdhoo,6.8833,73.1,80.8,66,1,12.08
323,pedasi,7.5333,-80.0333,80.13,79,39,17.2
324,marienburg,54.0359,19.0266,28.99,100,72,10.45
325,bandundu,-3.3167,17.3667,71.06,95,100,1.54
326,raudeberg,61.9875,5.1352,30.0,92,100,7.78
327,luderitz,-26.6481,15.1594,66.0,61,0,25.23
328,dumas,35.8656,-101.9732,31.21,64,1,9.22
329,perigueux,45.1833,0.7167,51.42,92,100,9.26
330,ercis,39.0287,43.3586,30.2,93,75,4.61
331,plettenberg bay,-34.0527,23.3716,63.1,77,71,3.09
332,yining,29.0361,114.5636,49.35,71,1,2.39
333,khandyga,62.6667,135.6,-49.38,75,68,0.18
334,provost,52.3501,-110.2683,3.2,85,100,11.5
335,pietarsaari,63.65,22.6833,22.08,86,90,5.75
337,leningradskiy,69.3833,178.4167,-17.41,87,100,3.56
338,guanaja,16.4,-85.9,78.87,83,20,18.41
339,viedma,-40.8135,-62.9967,61.57,60,16,8.84
340,shelburne,44.0787,-80.2041,15.4,86,90,3.44
341,harper,4.375,-7.7169,77.92,86,0,7.63
342,cookeville,36.1628,-85.5016,33.55,86,90,9.22
343,coronel vivida,-25.9797,-52.5678,65.97,98,97,4.36
344,valparaiso,-33.0393,-71.6273,62.6,55,0,14.32
345,gat,31.61,34.7642,56.97,100,63,8.93
346,akcakoca,41.0866,31.1162,37.08,83,100,13.85
347,thinadhoo,0.5333,72.9333,81.25,78,68,18.86
348,aklavik,68.2191,-135.0107,-19.25,76,97,2.3
349,dumai,1.6833,101.45,81.36,76,91,3.06
350,parit buntar,5.1267,100.4932,79.81,83,20,6.91
351,tautira,-17.7333,-149.15,84.2,65,75,4.61
352,youghal,51.95,-7.8506,51.31,93,75,18.41
353,yerofey pavlovich,53.9667,121.9667,-22.5,77,93,1.05
355,brindisi,40.5833,17.6667,43.41,49,75,10.36
356,ilo,-17.6394,-71.3375,68.56,81,0,3.58
357,linfen,36.0889,111.5189,34.63,47,0,9.75
358,burgeo,47.6167,-57.6152,25.07,91,80,8.75
359,oskarshamn,57.2645,16.4484,32.0,95,100,9.62
360,zeya,53.75,127.2667,-18.08,82,100,3.76
361,salem,11.65,78.1667,69.8,83,40,3.87
363,sitka,57.0531,-135.33,28.4,43,1,4.61
364,tarko-sale,64.9225,77.785,-44.43,80,70,2.26
365,karratha,-20.7377,116.8463,102.43,13,0,16.06
366,ponta delgada,37.7333,-25.6667,60.91,94,75,14.97
367,darnah,32.767,22.6367,52.74,66,99,12.75
368,manzhouli,49.6,117.4333,-18.15,82,0,7.56
369,lima,-12.0432,-77.0282,71.69,78,0,8.05
371,nantucket,41.2835,-70.0995,35.78,100,90,10.36
372,la seyne-sur-mer,43.0982,5.8847,51.57,72,29,5.99
373,katsuura,35.1333,140.3,45.36,70,75,14.97
374,kavieng,-2.5744,150.7967,85.19,72,100,10.89
375,yarkovo,57.4028,67.0786,18.9,96,100,10.18
376,isangel,-19.55,169.2667,84.43,73,100,17.76
377,salinopolis,-0.6136,-47.3561,79.45,83,100,8.88
378,terrace,54.5163,-128.6035,26.6,59,75,11.5
379,qingquan,30.4511,115.2559,49.89,54,0,13.18
380,bilma,18.6853,12.9164,61.02,30,0,14.47
381,vao,-22.6667,167.4833,78.39,86,100,20.27
382,yerbogachen,61.2767,108.0108,-40.77,80,84,5.97
383,qui nhon,13.7667,109.2333,72.97,80,98,17.05
384,along,28.1667,94.7667,57.02,54,0,1.52
385,edgewater,28.9889,-80.9023,69.22,94,40,10.36
386,sorong,-0.8833,131.25,81.75,81,100,10.63
387,arman,59.7,150.1667,-10.7,80,0,10.36
388,charters towers,-20.1,146.2667,85.62,49,50,11.95
389,fredericksburg,38.3032,-77.4605,35.71,70,1,4.61
390,kingaroy,-26.5333,151.8333,78.76,64,75,17.27
392,alofi,-19.0595,-169.9187,75.2,94,90,4.61
393,okulovka,58.4008,33.2908,24.51,99,93,2.17
394,kysyl-syr,63.8986,122.7617,-43.83,78,100,1.66
395,dzhalka,43.3186,45.9879,35.6,93,90,6.71
396,dustlik,40.5247,68.0358,32.34,88,0,3.44
397,yichun,47.7,128.9,-2.88,88,100,1.97
398,miri,4.4148,114.0089,78.4,94,40,5.75
399,chimbote,-9.0853,-78.5783,70.92,82,100,7.54
400,lianyuan,27.6883,111.6642,49.51,55,0,2.64
401,solnechnyy,50.7214,136.6319,-4.97,84,93,2.84
402,barcelos,41.5388,-8.6151,54.45,100,75,4.61
403,muros,42.7762,-9.0603,56.35,94,100,8.01
404,klaksvik,62.2266,-6.589,28.4,69,40,5.75
405,manakara,-22.1333,48.0167,75.25,93,28,5.93
406,sibu,2.3,111.8167,75.07,94,40,6.91
407,biskamzha,53.4497,89.5272,16.97,93,100,14.25
408,alora,36.8236,-4.7058,57.74,88,0,3.44
409,saint-francois,46.4154,3.9054,46.67,93,90,8.05
410,bayugan,8.7561,125.7675,84.51,59,100,1.66
411,kimbe,-5.5502,150.1429,84.51,74,100,4.41
412,husavik,66.0449,-17.3389,17.6,86,90,4.61
413,faya,18.3851,42.4509,55.47,41,0,9.22
414,glenwood springs,39.5505,-107.3248,23.31,79,90,18.41
415,bergen,60.392,5.328,20.3,86,0,3.44
416,kangalassy,62.3464,129.9628,-49.0,53,89,2.24
417,sao gabriel da cachoeira,-0.1303,-67.0892,73.94,95,98,0.16
419,tukrah,32.5341,20.5791,52.03,80,99,11.65
420,buraydah,26.326,43.975,57.2,47,0,6.91
421,terra rica,-22.7094,-52.6169,74.1,89,100,2.86
422,amapa,1,-52,72.16,98,100,2.3
423,awjilah,29.1081,21.2869,47.14,76,1,7.4
424,oranjemund,-28.55,16.4333,60.31,85,1,17.22
425,meadow lake,34.8014,-106.5436,30.76,44,20,1.9
426,khandbari,27.3747,87.2039,53.02,42,0,1.5
428,naryan-mar,67.6713,53.087,-5.17,91,100,18.34
429,gobo,33.8833,135.15,53.6,58,40,1.14
430,honiara,-9.4333,159.95,84.92,71,100,9.6
431,feijo,-8.1642,-70.3536,74.05,96,100,1.77
432,hualmay,-11.0964,-77.6139,70.72,82,100,6.35
434,bodden town,19.2833,-81.25,78.3,83,20,6.91
435,talnakh,69.4865,88.3972,-31.22,82,0,1.74
436,vardo,70.3705,31.1107,24.91,93,100,22.55
437,opuwo,-18.0607,13.84,68.32,69,91,3.56
438,marzuq,14.4,46.4667,53.55,56,0,0.4
439,smithers,54.7804,-127.1743,17.6,62,75,9.22
440,sao joao da barra,-21.6403,-41.0511,77.67,82,0,17.34
441,foix,42.8333,1.5833,52.63,79,100,4.52
442,filadelfia,39.9523,-75.1638,32.29,55,90,14.97
443,ust-kan,50.9276,84.761,7.41,88,65,4.07
444,lata,40.1629,-8.3327,56.41,100,96,1.52
445,koygorodok,60.445,50.9968,30.38,98,100,12.77
446,ylivieska,64.0833,24.55,19.31,92,100,3.71
447,taoudenni,22.6783,-3.9836,66.31,37,0,14.92
448,akniste,56.1615,25.7478,29.01,97,100,7.05
449,tabas,33.5959,56.9244,35.6,30,0,4.61
450,touros,-5.1989,-35.4608,78.8,78,20,10.36
451,linqiong,30.4159,103.4609,47.48,100,10,4.43
452,madras,13.0878,80.2785,73.4,88,40,6.98
454,ippy,6.2679,21.2247,71.85,32,98,2.26
455,kingsville,27.5159,-97.8561,60.85,36,75,8.05
456,banfora,10.6333,-4.7667,70.92,19,0,6.02
457,shingu,33.7333,135.9833,53.6,58,40,1.14
458,lesnoy,57.6198,63.0784,23.5,95,100,11.41
459,preston,53.7667,-2.7167,41.7,85,100,1.01
460,seminole,28.7086,-81.2081,70.47,88,90,6.91
461,makakilo city,21.3469,-158.0858,81.12,54,20,9.22
462,miandrivazo,-19.5167,45.4667,77.58,86,25,0.6
463,mokhsogollokh,61.4681,128.9203,-42.86,79,100,2.06
464,nefteyugansk,61.0998,72.6035,-22.0,76,90,11.18
465,saldanha,-33.0117,17.9442,59.0,72,0,6.91
466,puerto escondido,15.85,-97.0667,80.6,83,20,4.25
467,atherton,53.5237,-2.4935,43.99,84,100,5.01
468,ignalina,55.35,26.1667,28.58,98,100,8.01
469,kashi,39.4547,75.9797,21.2,68,0,11.18
470,polunochnoye,60.8697,60.4153,19.78,97,100,4.72
471,rong kwang,18.339,100.3174,66.2,94,0,2.13
472,waingapu,-9.6567,120.2641,84.58,72,100,14.41
473,antalaha,-14.9003,50.2788,75.04,87,0,3.09
474,ranong,9.9658,98.6348,77.0,88,20,4.61
475,rabo de peixe,37.8,-25.5833,60.91,94,75,14.97
476,haputale,6.7681,80.9595,71.6,100,40,2.3
477,bose,45.4612,8.0137,33.08,67,5,2.15
478,uvira,-3.4067,29.1458,71.26,63,95,3.8
479,portree,57.4129,-6.1942,36.0,80,100,8.01
480,tiarei,-17.5333,-149.3333,84.2,65,75,4.61
481,magistralnyy,56.1725,107.4458,-22.97,83,100,4.68
482,baracoa,20.3467,-74.4958,73.36,82,2,3.49
483,bereda,43.2686,-7.5406,55.29,92,99,7
485,kargasok,59.0556,80.8572,-22.68,83,100,1.52
486,whitehorse,60.7161,-135.0538,-16.46,76,1,3.44
487,manitouwadge,49.1215,-85.8403,-13.0,77,15,3.44
489,mago,53.2514,140.1822,1.76,92,100,7.49
490,mount isa,-20.7333,139.5,95.0,41,88,8.05
491,narsaq,60.9167,-46.05,39.2,33,75,26.46
492,eyrarbakki,63.863,-21.1481,28.4,64,0,16.11
493,namibe,-15.1961,12.1522,72.37,81,100,6.76
494,winneba,5.3511,-0.6231,77.56,91,0,8.37
495,luoyang,34.6836,112.4536,41.5,42,6,19.04
497,quatre cocos,-20.2078,57.7625,74.77,88,20,3.44
498,miles city,46.4083,-105.8406,19.4,73,1,6.91
499,gobabis,-22.45,18.9667,69.4,32,57,8.41
500,fairmont,39.4851,-80.1426,28.33,79,100,1.99
501,dwarka,22.2394,68.9678,64.67,50,0,12.93
502,kibondo,-3.5864,30.7203,58.17,98,98,2.39
503,sao jose da coroa grande,-8.8978,-35.1478,77.0,83,30,7.81
504,huarmey,-10.0681,-78.1522,71.11,82,100,8.86
